Game#,Type,Location,Date,Start,End,Division,Away,Home,Commant
1,PLAYOFF,KRC-A,Wed Mar 10,9:00PM,,,T1,T2,
2,PLAYOFF,KRC-A,Wed Mar 10,10:00PM,,,T3,T4,
3,PLAYOFF,KRC-B,Fri Mar 12,9:30PM,,,T5,T6,

4,PLAYOFF,KRC-B,Fri Mar 12,10:30PM,,,T1,T3,
5,PLAYOFF,KRC-A,Wed Mar 17,9:00PM,,,T6,T4,
6,PLAYOFF,KRC-A,Wed Mar 17,10:00PM,,,T2,T5,

7,PLAYOFF,KRC-B,Fri Mar 19,9:30PM,,,T3,T2,
8,PLAYOFF,KRC-B,Fri Mar 19,10:30PM,,,T4,T5,
9,PLAYOFF,KRC-B,Fri Mar 19,11:30PM,,,T6,T1,

10,PLAYOFF,KRC-A,Wed Mar 24,9:00PM,,,T2,T4,
11,PLAYOFF,KRC-A,Wed Mar 24,10:00PM,,,T3,T6,
12,PLAYOFF,KRC-B,Fri Mar 26,9:30PM,,,T1,T5,

13,PLAYOFF,KRC-B,Fri Mar 26,10:30PM,,,T2,T6,
14,PLAYOFF,STITT,Wed Mar 31,9:00PM,,,T5,T3,
15,PLAYOFF,JAC,Wed Mar 31,10:00PM,,,T4,T1,
